hitIndex,station,layer,ladder,chip,pixel_x,pixel_y
2346365,0,1,2,3,51,125
2369188,0,1,2,4,218,86
4327348,0,1,3,2,249,70
4390414,0,1,3,2,2,236
8788154,0,1,5,6,232,64
12728525,0,1,7,2,200,45
14974648,0,1,8,4,130,66
69463313,0,2,2,3,19,233
69486369,0,2,2,4,185,217
71434828,0,2,3,2,254,174
73488457,0,2,4,1,168,177
81936940,0,2,8,2,190,206
82051932,0,2,8,4,253,158
84196141,0,2,9,4,69,205
135299034,0,3,1,9,127,32
141289577,0,3,4,4,232,145
152486277,0,3,9,15,193,117
153790491,0,3,10,3,168,223
162500691,0,3,14,8,144,167
162638868,0,3,14,10,172,230
164497062,0,3,15,7,6,84
183174001,0,3,24,4,3,137
183373990,0,3,24,7,16,84
183460039,0,3,24,8,96,51
202324576,0,4,1,9,58,154
210329731,0,4,5,3,96,119
223766181,0,4,11,16,102,85
225112534,0,4,12,4,241,36
233733489,0,4,16,8,125,137
235945033,0,4,17,10,60,177
237937349,0,4,18,8,162,53
256599055,0,4,27,5,100,235
256889701,0,4,27,9,211,149
258918030,0,4,28,8,198,108
410303625,1,3,4,13,188,113
422977448,1,3,10,15,31,82
441094731,1,3,19,3,146,175
479513987,1,4,5,14,205,119
492203090,1,4,11,16,108,168
514429042,1,4,22,3,144,136
706138631,2,3,17,15,210,243
708234994,2,3,18,15,206,8
779357317,2,4,20,14,12,117
