hitIndex,station,layer,ladder,chip,pixel_x,pixel_y
2194522,0,1,2,1,132,160
2237229,0,1,2,2,221,205
2350655,0,1,2,3,34,187
2442988,0,1,2,5,186,14
2470431,0,1,2,5,78,219
4458197,0,1,3,4,250,37
6618058,0,1,4,4,5,48
6619016,0,1,4,4,1,114
6670314,0,1,4,5,57,16
8481364,0,1,5,1,150,166
8522845,0,1,5,2,244,157
8527500,0,1,5,2,226,110
8729797,0,1,5,5,204,53
10727339,0,1,6,3,81,79
10807645,0,1,6,4,23,157
10858741,0,1,6,5,80,5
12756959,0,1,7,2,89,27
14988961,0,1,8,4,74,89
69304321,0,2,2,1,128,249
69643423,0,2,2,6,84,91
71401712,0,2,3,1,128,10
71444157,0,2,3,2,218,61
71557070,0,2,3,3,33,44
71686799,0,2,3,5,38,107
71691389,0,2,3,5,20,125
73625628,0,2,4,3,144,222
73780291,0,2,4,5,52,183
75720587,0,2,5,3,153,111
77686807,0,2,6,1,152,227
77727512,0,2,6,2,249,226
77746280,0,2,6,2,176,146
77922512,0,2,6,5,256,42
79936314,0,2,7,3,69,192
80060535,0,2,7,5,96,131
81884513,0,2,8,1,139,153
82087879,0,2,8,4,113,51
86298563,0,2,10,4,49,55
135313694,0,3,1,9,185,220
139555845,0,3,3,10,116,245
141401119,0,3,4,6,156,219
141653234,0,3,4,10,116,8
145596205,0,3,6,6,159,205
148065676,0,3,7,12,77,110
151746241,0,3,9,4,118,57
151847121,0,3,9,6,0,41
151969239,0,3,9,7,221,35
152008886,0,3,9,8,120,68
158302076,0,3,12,8,127,126
158589407,0,3,12,12,225,27
160602544,0,3,13,11,153,74
162042530,0,3,14,1,146,88
162805149,0,3,14,13,53,93
162892133,0,3,14,14,137,149
164611466,0,3,15,8,197,112
167056085,0,3,16,14,18,37
167113877,0,3,16,14,244,101
168883547,0,3,17,9,245,159
175375789,0,3,20,13,5,77
179011393,0,3,22,4,127,185
179610883,0,3,22,13,165,247
181095840,0,3,23,4,77,90
181708011,0,3,23,13,164,15
183308763,0,3,24,6,17,31
183463089,0,3,24,8,108,73
183485357,0,3,24,8,195,77
183675503,0,3,24,11,170,139
184078140,0,3,24,17,207,190
204450173,0,4,2,9,169,125
210436121,0,4,5,5,0,225
216857037,0,4,8,6,249,45
217279562,0,4,8,13,108,176
220981144,0,4,10,5,231,98
221074855,0,4,10,7,85,83
221111615,0,4,10,7,229,187
221247872,0,4,10,9,249,122
227775079,0,4,13,13,146,147
229512511,0,4,14,8,21,187
231928832,0,4,15,12,244,250
234026227,0,4,16,12,244,7
236236441,0,4,17,14,174,97
237998717,0,4,18,9,146,125
238323053,0,4,18,14,133,141
242200147,0,4,20,9,174,167
246627104,0,4,22,13,59,218
254535653,0,4,26,5,231,21
255014370,0,4,26,13,53,24
255348253,0,4,26,18,78,221
258842318,0,4,28,7,158,44
258886820,0,4,28,8,76,86
258993573,0,4,28,9,237,85
259190124,0,4,28,12,237,142
259457408,0,4,28,17,1,122
404206706,1,3,1,16,180,136
422987944,1,3,10,15,72,82
426564446,1,3,12,5,219,156
429391522,1,3,13,16,254,88
431359555,1,3,14,15,6,183
435524695,1,3,16,14,148,163
439547842,1,3,18,11,247,56
439816531,1,3,18,16,17,167
441556600,1,3,19,10,158,130
443748650,1,3,20,12,17,208
443762479,1,3,20,12,71,203
443771951,1,3,20,12,108,203
443781131,1,3,20,12,144,239
443818592,1,3,20,13,34,154
443853881,1,3,20,13,172,193
443878995,1,3,20,14,14,167
444012601,1,3,20,16,24,193
445846203,1,3,21,12,18,63
445856169,1,3,21,12,57,81
445861831,1,3,21,12,79,51
445941119,1,3,21,13,133,123
446028347,1,3,21,14,218,191
446086743,1,3,21,15,190,163
446226633,1,3,21,17,224,49
471215774,1,4,1,16,46,92
494318886,1,4,12,16,181,212
497842098,1,4,14,6,119,72
498507917,1,4,14,16,160,109
504818058,1,4,17,16,233,112
506822982,1,4,18,15,129,180
510725929,1,4,20,11,15,209
513252373,1,4,21,17,156,229
514919145,1,4,22,11,10,17
517167387,1,4,23,13,89,223
517183745,1,4,23,13,153,249
517196598,1,4,23,13,203,196
517200948,1,4,23,13,220,198
517255973,1,4,23,14,179,213
517328396,1,4,23,15,206,238
517350694,1,4,23,16,37,212
519197376,1,4,24,12,82,58
519281140,1,4,24,13,153,6
519281465,1,4,24,13,155,193
519282945,1,4,24,13,161,249
519287628,1,4,24,13,179,174
519305236,1,4,24,13,248,230
519633950,1,4,24,18,252,220
521380590,1,4,25,13,162,12
521416643,1,4,25,14,47,55
521464018,1,4,25,14,232,40
680415908,2,3,5,7,82,86
688599504,2,3,9,4,49,42
701040502,2,3,15,2,7,132
701245067,2,3,15,5,38,111
749575574,2,4,6,7,157,100
757853835,2,4,10,5,238,111
772387880,2,4,17,3,180,210
772474455,2,4,17,5,6,163
