hitIndex,station,layer,ladder,chip,pixel_x,pixel_y
2162820,0,1,2,1,256,118
2182348,0,1,2,1,180,46
2303630,0,1,2,3,218,108
2545816,0,1,2,6,40,98
6561941,0,1,4,4,224,101
8662100,0,1,5,4,212,166
10585964,0,1,6,1,121,142
10806634,0,1,6,4,27,144
10865304,0,1,6,5,54,98
12670986,0,1,7,1,168,240
12785057,0,1,7,3,235,89
12969447,0,1,7,5,27,19
14764281,0,1,8,1,184,1
69284761,0,2,2,1,205,97
69398104,0,2,2,2,18,162
69453073,0,2,2,3,59,233
69642343,0,2,2,6,88,147
75764643,0,2,5,4,237,87
79895832,0,2,7,3,227,226
79982577,0,2,7,4,145,9
80078851,0,2,7,5,24,247
81894857,0,2,8,1,99,49
82175991,0,2,8,5,25,3
84184005,0,2,9,4,117,53
135055065,0,3,1,5,198,33
145835645,0,3,6,10,70,125
148354502,0,3,7,16,181,52
154108745,0,3,10,8,131,177
156225334,0,3,11,8,207,196
158819488,0,3,12,16,100,90
162380069,0,3,14,6,185,213
162656198,0,3,14,10,239,52
165058675,0,3,15,15,152,135
166482778,0,3,16,5,83,160
166764473,0,3,16,9,159,65
170591006,0,3,18,4,3,220
171279796,0,3,18,14,133,70
173002306,0,3,19,8,206,184
174790030,0,3,20,4,21,108
175101301,0,3,20,8,213,133
177535033,0,3,21,13,248,193
202010729,0,4,1,4,112,145
215065405,0,4,7,11,163,189
217458507,0,4,8,16,39,175
225349695,0,4,12,8,144,187
227455291,0,4,13,8,177,191
228062269,0,4,13,17,244,189
235974814,0,4,17,10,176,92
236274017,0,4,17,15,65,153
237791399,0,4,18,6,104,83
246103460,0,4,22,5,61,86
246289951,0,4,22,8,22,219
250811654,0,4,24,13,21,244
252909556,0,4,25,13,23,6
403847149,1,3,1,11,55,13
420361218,1,3,9,7,52,248
422458606,1,3,10,7,52,12
430655728,1,3,14,4,72,10
432785010,1,3,15,4,198,136
439103428,1,3,18,5,47,54
443609413,1,3,20,9,241,181
443732907,1,3,20,11,211,79
470996142,1,4,1,12,212,76
491692467,1,4,11,8,161,71
496435348,1,4,13,17,0,102
504954154,1,4,17,18,253,208
510518119,1,4,20,7,227,147
516885024,1,4,23,9,10,218
517128922,1,4,23,12,194,32
693444549,2,3,11,14,31,53
