frame_array,tid_array,traj_p,traj_pt,traj_lambda,traj_phi,num_hits_x,batch,track_id,hit_IDs,tid,traj_ps,traj_pts,traj_lambdas,traj_phis,num_hits_y,correct_track
0,47335,[22.15787772],[22.15379698],[-0.0057599],[0.41166309],20,,,,,,,,,,
0,45192,[19.47594706],[12.14665489],[0.50159868],[0.73219265],6,,,,,,,,,,
0,67925,[29.05438823],[28.55490338],[0.10764881],[1.41661328],13,,,,,,,,,,
1,57273,[13.33412535],[10.6753384],[0.36053718],[1.70901187],4,,,,,,,,,,
1,62757,[28.58672601],[28.35674329],[-0.06539625],[-0.98412123],10,,,,,,,,,,
1,70315,[28.64239739],[25.53762144],[-0.25525136],[-0.60793441],8,,,,,,,,,,
2,22842,[25.3939524],[25.39335809],[0.00107672],[0.63793615],45,,,,,,,,,,
2,58891,[19.41543536],[18.87772022],[-0.1257169],[-0.38318625],9,,,,,,,,,,
3,72284,[28.70017025],[28.53436682],[0.06439085],[0.6212892],12,,,,,,,,,,
3,72282,[9.11105558],[8.74353605],[0.16264576],[-1.04952125],21,,,,,,,,,,
3,42622,[15.86627902],[14.4255456],[-0.23286323],[-0.59835093],4,,,,,,,,,,
4,57125,[21.50703836],[19.41532068],[0.2510193],[1.03362069],6,,,,,,,,,,
4,69401,[7.76223324],[7.52786288],[-0.13153418],[-1.40383244],5,,,,,,,,,,
4,11450,[14.85353767],[10.39127617],[-0.43577039],[0.33108963],4,,,,,,,,,,
5,73450,[14.64354811],[9.1405913],[0.50124423],[-0.08417765],6,,,,,,,,,,
5,73448,[23.22038263],[16.6605439],[-0.4216893],[0.70886963],6,,,,,,,,,,
5,55115,[21.13683862],[21.09640393],[0.03910821],[-0.49393805],23,,,,,,,,,,
5,73449,[20.62368314],[20.07277999],[0.13309432],[-1.28883913],7,,,,,,,,,,
5,53613,[10.90956651],[10.83303122],[0.07047712],[-0.32018225],9,,,,,,,,,,
7,70561,[28.04237681],[11.69579577],[-0.62647689],[-0.18307935],4,,,,,,,,,,
8,73798,[19.2636162],[14.84940421],[0.3871549],[-1.19728592],7,,,,,,,,,,
9,74343,[22.71432126],[22.56062282],[0.06929413],[-1.13917642],9,,,,,,,,,,
9,76950,[25.79545058],[15.56461587],[-0.50607782],[-0.39484603],4,,,,,,,,,,
9,53746,[23.25250204],[19.87503102],[-0.29721794],[-0.35738979],6,,,,,,,,,,
10,63965,[18.99650982],[17.21251163],[0.24668239],[0.46900976],7,,,,,,,,,,
10,77913,[27.82023676],[27.60358134],[0.07398932],[1.20792613],11,,,,,,,,,,
10,3469,[17.65147105],[17.08763934],[-0.13542455],[-0.93395111],10,,,,,,,,,,
10,41017,[20.82799459],[15.70852562],[0.40139915],[-0.82000805],5,,,,,,,,,,
11,67065,[14.40596617],[14.29791784],[-0.06297803],[-0.91348395],14,,,,,,,,,,
12,79375,[22.94381017],[10.31904681],[0.61614425],[-1.37378202],5,,,,,,,,,,
12,66144,[21.19243661],[19.42823796],[-0.22259772],[-0.72558993],6,,,,,,,,,,
13,80518,[17.61717638],[16.79161867],[-0.16527015],[1.21670181],6,,,,,,,,,,
13,78084,[14.85063768],[14.73380172],[-0.06462048],[1.41129478],12,,,,,,,,,,
13,50570,[25.80673214],[24.85294486],[0.15582354],[-0.09467349],6,,,,,,,,,,
15,82317,[13.6626419],[10.49080937],[-0.38005299],[0.97512468],7,,,,,,,,,,
15,5259,[27.56912025],[26.15293779],[-0.17332397],[-0.39350267],9,,,,,,,,,,
17,66110,[16.52920076],[12.71365051],[0.3886289],[0.33604893],6,,,,,,,,,,
17,79599,[14.4523199],[14.11000884],[-0.11585929],[1.60893849],6,,,,,,,,,,
17,18595,[14.83257358],[13.01018982],[-0.27243558],[-0.17064279],6,,,,,,,,,,
18,84736,[21.08968195],[20.99091151],[-0.04872979],[-0.44041564],12,,,,,,,,,,
19,66023,[23.37247108],[18.66088456],[0.36252638],[-0.44959294],6,,,,,,,,,,
20,77899,[18.82229191],[18.49435004],[-0.09861834],[1.00538345],9,,,,,,,,,,
21,80688,[21.66547653],[10.92460625],[-0.57209293],[0.86948541],6,,,,,,,,,,
21,86679,[15.41556122],[11.36597369],[0.41545822],[-0.00429408],6,,,,,,,,,,
22,73747,[19.39207538],[17.78898988],[0.23152317],[0.20725403],7,,,,,,,,,,
22,69309,[17.58647455],[14.93550088],[-0.30303073],[0.933524],6,,,,,,,,,,
22,86245,[20.97478977],[18.56379213],[-0.26315534],[-1.36738859],7,,,,,,,,,,
23,88780,[13.64792296],[8.23027606],[0.51609008],[-0.30683397],7,,,,,,,,,,
23,88782,[19.86645415],[18.25875134],[-0.21936123],[0.12559497],6,,,,,,,,,,
24,57160,[22.53529987],[22.52472203],[0.02182448],[-1.04626908],22,,,,,,,,,,
24,35890,[22.51735313],[21.55941749],[-0.15717642],[0.68612987],7,,,,,,,,,,
24,89321,[26.42048921],[25.55719041],[-0.13702703],[-0.01459274],6,,,,,,,,,,
25,65074,[23.31697131],[23.31597655],[-0.00024934],[0.5737867],33,,,,,,,,,,
25,88969,[25.03047411],[14.81927909],[-0.51390702],[1.34616132],5,,,,,,,,,,
25,90142,[26.21214071],[24.48886346],[0.20669561],[1.57443141],6,,,,,,,,,,
25,90742,[8.40671438],[8.40063805],[-0.0161873],[-0.04788397],40,,,,,,,,,,
25,90775,[7.22295766],[6.61453848],[-0.22401379],[-1.42649904],4,,,,,,,,,,
26,81652,[20.603653],[18.09487126],[0.28087983],[0.09253088],6,,,,,,,,,,
27,3476,[24.69342992],[23.55988302],[-0.16350512],[1.38370651],6,,,,,,,,,,
27,57283,[27.75472009],[27.5084988],[-0.06892128],[-0.65728438],9,,,,,,,,,,
