frame_array,tid_array,traj_p,traj_pt,traj_lambda,traj_phi,num_hits_x,tid,num_hits_y,hit_IDs,correct_track
0,47335,[22.15787772],[22.15379698],[-0.0057599],[0.41166309],20,47335.0,4.0,"[77988909, 150160258, 149892752, 219065741]",1.0
0,47335,[22.15787772],[22.15379698],[-0.0057599],[0.41166309],20,47335.0,4.0,"[77988909, 181692877, 149892752, 254644337]",1.0
0,47335,[22.15787772],[22.15379698],[-0.0057599],[0.41166309],20,47335.0,4.0,"[77988909, 179178055, 150160258, 219065741]",1.0
0,45192,[19.47594706],[12.14665489],[0.50159868],[0.73219265],6,,,,
0,67925,[29.05438823],[28.55490338],[0.10764881],[1.41661328],13,,,,
1,57273,[13.33412535],[10.6753384],[0.36053718],[1.70901187],4,,,,
1,62757,[28.58672601],[28.35674329],[-0.06539625],[-0.98412123],10,62757.0,6.0,"[79934045, 180939128, 158299335, 256410872, 10724809, 79934045]",1.0
1,70315,[28.64239739],[25.53762144],[-0.25525136],[-0.60793441],8,,,,
2,22842,[25.3939524],[25.39335809],[0.00107672],[0.63793615],45,22842.0,6.0,"[2276102, 71482745, 71482745, 135054879, 135054879, 204225966]",1.0
2,22842,[25.3939524],[25.39335809],[0.00107672],[0.63793615],45,22842.0,6.0,"[2461008, 80055920, 71482745, 151794454, 135054879, 206276341]",1.0
2,22842,[25.3939524],[25.39335809],[0.00107672],[0.63793615],45,22842.0,6.0,"[4373237, 71482745, 71482745, 153840558, 135054879, 204178948]",1.0
2,22842,[25.3939524],[25.39335809],[0.00107672],[0.63793615],45,22842.0,6.0,"[10697169, 71509854, 71571915, 135177017, 135177017, 204347075]",1.0
2,22842,[25.3939524],[25.39335809],[0.00107672],[0.63793615],45,22842.0,6.0,"[10697169, 71666900, 71666900, 135280709, 135177017, 204225966]",1.0
2,22842,[25.3939524],[25.39335809],[0.00107672],[0.63793615],45,22842.0,6.0,"[10849979, 80055920, 71666900, 135177017, 135177017, 206276341]",1.0
2,22842,[25.3939524],[25.39335809],[0.00107672],[0.63793615],45,22842.0,6.0,"[79861075, 135054879, 135177017, 204178948, 2461008, 79903618]",1.0
2,22842,[25.3939524],[25.39335809],[0.00107672],[0.63793615],45,22842.0,6.0,"[79861075, 135177017, 135506417, 202578121, 10849979, 71666900]",1.0
2,22842,[25.3939524],[25.39335809],[0.00107672],[0.63793615],45,22842.0,6.0,"[151794454, 223066309, 80055920, 154268804, 4401107, 71482745]",1.0
