tid,traj_p,traj_pt,traj_lambda,traj_phi,num_hits_x,hit_IDs,num_hits_y
3469.0,[17.65147105],[17.08763934],[-0.13542455],[-0.93395111],10,"[448099074, 523573639, 178811943, 84120460, 450196205, 507046288]",6
5259.0,[27.56912025],[26.15293779],[-0.17332397],[-0.39350267],9,"[84154976, 240117811, 166765603]",3
12316.0,[15.1573997],[12.62536379],[-0.31973614],[0.81076395],6,"[206261428, 425059035, 71410836, 137122949]",4
22842.0,[25.3939524],[25.39335809],[0.00107672],[0.63793615],45,"[79903618, 204178948, 154268804, 2276102, 137102733, 151794454, 153945494, 135054879, 223441698, 154158499, 204225966, 153840558, 154397872, 135177017, 10849979, 204347075, 135280709, 223066309, 223335750, 202578121, 223121994, 71571915, 2461008, 10697169, 223568721, 79861075, 71666900, 4401107, 71509854, 183591021, 80055920, 135506417, 154077041, 206276341, 4373237, 183629686, 71482745]",37
23466.0,[26.73938617],[26.73919258],[0.00275744],[1.67833228],15,"[67381642, 75809649, 278388, 219125720, 147865438]",5
28475.0,[16.54749683],[16.25016865],[-0.10023136],[0.60287983],11,"[149523457, 71694541, 202072814, 183575913]",4
30290.0,[18.77869014],[17.94289244],[-0.16090889],[-0.55921464],9,"[139078009, 82055537, 166773473, 206168477]",4
33314.0,[26.72500472],[25.36706501],[-0.17234765],[1.25334051],6,"[141402723, 73477160, 210561178, 431168156, 6361565]",5
44410.0,[26.81988784],[18.04846645],[-0.4560081],[1.02740415],4,"[73723568, 206381602, 4495452, 139353270]",4
47335.0,[22.15787772],[22.15379698],[-0.0057599],[0.41166309],20,"[150160258, 179178055, 181692877, 77988909, 219065741, 149892752, 254644337]",7
55115.0,[21.13683862],[21.09640393],[0.03910821],[-0.49393805],23,"[167065792, 77939553, 170981539, 258884231, 73510796, 135166129, 248814707, 137582230]",8
57160.0,[22.53529987],[22.52472203],[0.02182448],[-1.04626908],22,"[252549632, 179338604, 69408558, 178955631, 79905840, 229444174, 2301043, 179179348, 10698652]",9
58966.0,[12.35845249],[11.51530004],[-0.20080686],[0.69251668],8,"[2170145, 220749890, 151559753, 71382667, 488129454, 137193433, 204251197]",7
62757.0,[28.58672601],[28.35674329],[-0.06539625],[-0.98412123],10,"[256410872, 158299335, 10724809, 180939128, 79934045]",5
65074.0,[23.31697131],[23.31597655],[-0.00024934],[0.5737867],33,"[221178114, 69351051, 133134, 152002865, 181365683, 69365656]",6
66023.0,[23.37247108],[18.66088456],[0.36252638],[-0.44959294],6,"[240375698, 84242394, 166971547, 12959415]",4
66144.0,[21.19243661],[19.42823796],[-0.22259772],[-0.72558993],6,"[84260799, 235933754, 164683722, 452506983]",4
66977.0,[16.39129719],[16.16808935],[0.09632156],[0.97072679],8,"[158781705, 208738797, 230040177, 160879348, 71595103]",5
67065.0,[14.40596617],[14.29791784],[-0.06297803],[-0.91348395],14,"[2262948, 82151526, 81858602, 176889386, 252647119, 12943089, 162635891, 12779189, 69367127, 235995832, 162395961, 250268186, 235752829, 179272671]",14
71464.0,[20.48645574],[19.71326598],[0.1574274],[-0.25040143],10,"[676388208, 14829401, 207136594, 86126702]",4
73798.0,[19.2636162],[14.84940421],[0.3871549],[-1.19728592],7,"[229802233, 156399906, 79994657, 10808433]",4
74343.0,[22.71432126],[22.56062282],[0.06929413],[-1.13917642],9,"[80117033, 10914700, 158552021, 229828039]",4
75184.0,[19.35221693],[19.33246136],[0.02987786],[-1.18217735],31,"[232020870, 227584138, 67490315, 175220240, 79980435, 80069396, 250636180, 156313244, 69502380, 227441709, 177271472, 10661303, 229727418, 156168509, 69468351, 10876096, 250804418, 250674883, 380996, 160735437, 177306578, 158454741, 156341334, 177440732, 2392796, 79866206, 10775012, 250684134, 80081771, 10863984]",30
77899.0,[18.82229191],[18.49435004],[-0.09861834],[1.00538345],9,"[141091489, 73672579, 227134736, 151625392, 157949874, 4463156, 139520373, 210272318]",8
78084.0,[14.85063768],[14.73380172],[-0.06462048],[1.41129478],12,"[86095200, 143654787, 143454249, 233493266, 235787892, 164315830]",6
80518.0,[17.61717638],[16.79161867],[-0.16527015],[1.21670181],6,"[135082794, 202143570, 73502910, 4289887]",4
80688.0,[21.66547653],[10.92460625],[-0.57209293],[0.86948541],6,"[210219248, 71427610, 4277445, 139044134]",4
81831.0,[14.93844873],[14.49849336],[0.13954539],[-0.94905678],9,"[181602781, 254961555, 81945981, 162501320]",4
82680.0,[25.10220339],[17.89449196],[0.43508101],[-0.69601941],14,"[75866594, 177465124, 439592, 67538440, 140022027, 252952876, 208668852, 142119671, 141618109, 176949087]",10
84736.0,[21.08968195],[20.99091151],[-0.04872979],[-0.44041564],12,"[136934721, 206411714, 73515843, 168892900, 6409447, 241987496, 168625836, 242255854, 84159055, 139330005, 204016442]",11
88782.0,[19.86645415],[18.25875134],[-0.21936123],[0.12559497],6,"[250513229, 67325165, 175065616, 416872083, 14885685, 486063326]",6
89498.0,[14.39580021],[11.05585629],[0.38965112],[1.40855748],7,"[217271840, 6572291, 75762190, 148055951, 8672240, 770293177]",6
89522.0,[15.66411474],[15.64412242],[-0.02310716],[0.17694214],91,"[69395469, 143567383, 181394968, 69445145, 256864282, 75647001, 69417500, 258844704, 181340197, 212854310, 256926255, 181421109, 181339204, 2336847, 210735697, 143637588, 141451353, 2271324, 210528, 73557601, 71465576, 69423211, 258891885, 141440112, 181462643, 75684980, 75739768, 6470264, 71385214, 2252938, 6479498, 6534283, 212741270, 4289698, 69511330, 179325098, 183380652, 145705650, 6506688, 210730177, 212737732, 183429316, 258952900, 217068743, 71526602, 4415701, 77804245, 258904794, 212807404, 139277559, 210709760, 2319113, 73490699, 256802063, 141559571, 67319580, 69378336, 4413729, 6441766, 181312301, 181397809, 143566135, 208530754, 208588100, 2285895, 69362504, 2308939, 137182541, 4287821, 212785490, 77905238, 73479013, 141509477, 8698727, 75677546, 71407985, 145774977, 208515970, 147897217, 143659930, 2313138, 75713972, 139084250, 8599008, 258959847, 75719151, 258874864, 2402801, 137020915]",89
90406.0,[23.18253247],[22.39762857],[0.14931482],[1.40559108],10,"[217193617, 164626804, 77980600, 148004796, 8651423]",5
90742.0,[8.40671438],[8.40063805],[-0.0161873],[-0.04788397],40,"[81989512, 86211978, 164685456, 168899730, 14906003, 162786332, 240291742, 164814751, 169031841, 84135721, 240162989, 82050734, 86250542, 10703418, 162789955, 160443597, 12838992, 235867226, 164683355, 82004704, 164653155, 164707175]",22
93807.0,[27.29859708],[26.17845399],[0.16398053],[0.83791463],19,"[137472933, 84100939, 206667405, 206243031, 158292473, 69512858, 321726, 137052383]",8
93878.0,[18.89240461],[17.35858771],[-0.21972963],[-0.81545076],6,"[235751207, 84053387, 164498865, 12742194, 525796735]",5
95605.0,[18.52769864],[17.88230027],[-0.14167197],[1.67679213],12,"[238190914, 150503331, 8763210, 166911147, 77976142, 150018481, 166280855, 84224859, 219178844]",9
97183.0,[23.63650205],[19.01410271],[-0.34722205],[-0.33229541],7,"[83976257, 12662275, 483212517, 411914253, 235653455, 14757874, 164411771]",7
102644.0,[12.85843445],[12.85612308],[0.01536022],[-0.67433083],41,"[83975809, 237878021, 12741262, 181356955, 173202461, 71374239, 181302305, 254715939, 2168869, 177215400, 173357864, 256767915, 248679086, 173018416, 71390897, 181286709, 2185269, 256752055, 12660281, 248829882, 12671803, 181514940, 164559939, 181686983, 172901704, 255042899, 166593236, 84045781, 166607831, 248373720, 256720599, 237925466, 181802719, 181257059, 179301603, 239959272, 239975414, 255163258, 83964284]",39
102890.0,[15.98739437],[15.46023733],[0.14741214],[1.19807079],8,"[141963430, 4336519, 231992140, 211145939, 73537460, 160731924]",6
104722.0,[10.96995875],[10.96064543],[-0.01794971],[0.6999902],40,"[135259791, 204433425, 69568533, 79918614, 2459032, 132638, 204566433, 79775139, 82037158, 69326120, 10573483, 82061744, 10714161, 137345586, 141508788, 214909493, 69443510, 210715834, 149959226, 69494972, 149921600, 204494283, 236620, 135326158, 219136220, 82047097, 2349031, 143597680, 149940084, 152138104, 69340281, 135394171]",32
108760.0,[18.08516264],[15.47678879],[0.30586011],[-1.65782401],6,"[223598256, 152300899, 8718909, 78042902]",4
109361.0,[15.54286751],[15.53654883],[0.02064873],[0.74142054],20,"[2283523, 145500421, 135012371, 8508694, 202253338, 151903521, 4323253, 79810745, 220978367, 135094595, 71433543, 204265690, 214675548, 151801567, 147597808, 4380914, 135178871, 204186233, 71489404]",19
110347.0,[24.64078353],[21.44297701],[-0.28028371],[1.33174292],6,"[73657586, 141449899, 210597806, 4435159]",4
111499.0,[10.15776941],[10.1577307],[0.0033354],[-1.45067375],34,"[257111300, 6748678, 75794695, 75952904, 254907918, 69607569, 143829266, 259222039, 181615257, 137744037, 183765158, 143883815, 210812975, 75895600, 6690866, 334132, 143887541, 210965694, 213004223, 257078854, 143979723, 213057741, 179449935, 2498769, 181647189, 143731030, 208983773, 69542117, 8686310, 208975722, 8846069, 259208694, 77892086, 78050552]",34
111747.0,[25.1981058],[22.67239727],[-0.24509054],[0.65174952],28,"[71372555, 8465291, 208571667, 256505624, 135071641, 218899612, 208546087, 141496618, 183430573, 2163374, 73552447, 183410367, 258879304, 181034315, 204205779, 73466070, 258891094, 147729882, 141466463, 183333091, 73467365, 208276073, 141161077, 149731958, 77673334, 258801020, 71460223]",27
112337.0,[17.12394913],[16.98250361],[0.07606176],[-1.64463923],23,"[77901186, 77884806, 231501190, 160608780, 8682136, 12970906, 221530147, 150336293, 149940006, 221580328, 221187117, 152352943, 160208434, 169093817, 169264588, 84263890, 240530770, 221311199, 150036330, 231901038, 162705655, 8686207]",22
115231.0,[10.74277701],[7.58393475],[-0.43083922],[-0.94314142],5,"[12719641, 84039524, 444130901]",3
