tid_array,traj_p,traj_pt,traj_lambda,traj_phi,num_hits_x,hit_IDs,num_hits_y
2825,[24.91467885],[24.78022152],[-0.05266921],[0.23051508],4,[],0
3469,[17.65147105],[17.08763934],[-0.13542455],[-0.93395111],10,"[448099074, 523573639, 178811943, 84120460, 450196205, 507046288]",6
3476,[24.69342992],[23.55988302],[-0.16350512],[1.38370651],6,[],0
5259,[27.56912025],[26.15293779],[-0.17332397],[-0.39350267],9,"[84154976, 240117811, 166765603]",3
9847,[17.82171126],[12.92045244],[-0.41571989],[0.84998706],4,[],0
11450,[14.85353767],[10.39127617],[-0.43577039],[0.33108963],4,[],0
12316,[15.1573997],[12.62536379],[-0.31973614],[0.81076395],6,"[206261428, 425059035, 71410836, 137122949]",4
18595,[14.83257358],[13.01018982],[-0.27243558],[-0.17064279],6,[],0
22842,[25.3939524],[25.39335809],[0.00107672],[0.63793615],45,"[79903618, 204178948, 154268804, 2276102, 137102733, 151794454, 153945494, 135054879, 223441698, 154158499, 204225966, 153840558, 154397872, 135177017, 10849979, 204347075, 135280709, 223066309, 223335750, 202578121, 223121994, 71571915, 2461008, 10697169, 223568721, 79861075, 71666900, 4401107, 71509854, 183591021, 80055920, 135506417, 154077041, 206276341, 4373237, 183629686, 71482745]",37
23466,[26.73938617],[26.73919258],[0.00275744],[1.67833228],15,"[67381642, 75809649, 278388, 219125720, 147865438]",5
25956,[12.59462869],[12.24128057],[0.13630379],[0.59077587],4,[],0
28475,[16.54749683],[16.25016865],[-0.10023136],[0.60287983],11,"[149523457, 71694541, 202072814, 183575913]",4
30290,[18.77869014],[17.94289244],[-0.16090889],[-0.55921464],9,"[139078009, 82055537, 166773473, 206168477]",4
30934,[11.40740617],[5.03811238],[0.62122713],[-1.0091145],6,[],0
33289,[13.74610496],[13.74256337],[0.01743012],[1.40191021],6,[],0
33314,[26.72500472],[25.36706501],[-0.17234765],[1.25334051],6,"[141402723, 73477160, 210561178, 431168156, 6361565]",5
35330,[21.08052378],[17.39132883],[0.33732278],[1.29876206],6,[],0
35890,[22.51735313],[21.55941749],[-0.15717642],[0.68612987],7,[],0
40325,[24.49129275],[23.96542003],[0.1197775],[-1.13532952],6,[],0
41017,[20.82799459],[15.70852562],[0.40139915],[-0.82000805],5,[],0
41684,[17.26046676],[16.31084425],[0.18933838],[-0.1645102],8,[],0
42622,[15.86627902],[14.4255456],[-0.23286323],[-0.59835093],4,[],0
44410,[26.81988784],[18.04846645],[-0.4560081],[1.02740415],4,"[73723568, 206381602, 4495452, 139353270]",4
45192,[19.47594706],[12.14665489],[0.50159868],[0.73219265],6,[],0
47335,[22.15787772],[22.15379698],[-0.0057599],[0.41166309],20,"[150160258, 179178055, 181692877, 77988909, 219065741, 149892752, 254644337]",7
47362,[22.48957003],[18.80104182],[-0.31666602],[0.39893389],7,[],0
48198,[25.22980244],[23.90100646],[0.18531228],[0.48583323],6,[],0
50570,[25.80673214],[24.85294486],[0.15582354],[-0.09467349],6,[],0
50637,[15.65503824],[8.6668025],[-0.53990577],[1.29285059],7,[],0
52438,[28.67022713],[24.33654031],[-0.30345073],[-0.15065349],6,[],0
53613,[10.90956651],[10.83303122],[0.07047712],[-0.32018225],9,[],0
53746,[23.25250204],[19.87503102],[-0.29721794],[-0.35738979],6,[],0
53792,[25.60014191],[25.32576914],[-0.07624981],[-1.50259545],4,[],0
55115,[21.13683862],[21.09640393],[0.03910821],[-0.49393805],23,"[167065792, 77939553, 170981539, 258884231, 73510796, 135166129, 248814707, 137582230]",8
56068,[23.08052939],[21.95656305],[-0.16859349],[1.15198699],7,[],0
57084,[23.66770681],[14.4306796],[-0.50167232],[1.63612079],4,[],0
57125,[21.50703836],[19.41532068],[0.2510193],[1.03362069],6,[],0
57160,[22.53529987],[22.52472203],[0.02182448],[-1.04626908],22,"[252549632, 179338604, 69408558, 178955631, 79905840, 229444174, 2301043, 179179348, 10698652]",9
57273,[13.33412535],[10.6753384],[0.36053718],[1.70901187],4,[],0
57283,[27.75472009],[27.5084988],[-0.06892128],[-0.65728438],9,[],0
58867,[24.88983156],[20.45080235],[-0.33084882],[-0.0391586],6,[],0
58891,[19.41543536],[18.87772022],[-0.1257169],[-0.38318625],9,[],0
58966,[12.35845249],[11.51530004],[-0.20080686],[0.69251668],8,"[2170145, 220749890, 151559753, 71382667, 488129454, 137193433, 204251197]",7
60838,[14.8179336],[8.30708185],[0.54497275],[0.63024985],4,[],0
62757,[28.58672601],[28.35674329],[-0.06539625],[-0.98412123],10,"[256410872, 158299335, 10724809, 180939128, 79934045]",5
63965,[18.99650982],[17.21251163],[0.24668239],[0.46900976],7,[],0
65074,[23.31697131],[23.31597655],[-0.00024934],[0.5737867],33,"[221178114, 69351051, 133134, 152002865, 181365683, 69365656]",6
65192,[21.44063717],[14.51154554],[-0.45311352],[-1.26728469],5,[],0
66023,[23.37247108],[18.66088456],[0.36252638],[-0.44959294],6,"[240375698, 84242394, 166971547, 12959415]",4
66110,[16.52920076],[12.71365051],[0.3886289],[0.33604893],6,[],0
66121,[16.66538605],[16.40179575],[-0.09372079],[0.52606531],5,[],0
66144,[21.19243661],[19.42823796],[-0.22259772],[-0.72558993],6,"[84260799, 235933754, 164683722, 452506983]",4
66977,[16.39129719],[16.16808935],[0.09632156],[0.97072679],8,"[158781705, 208738797, 230040177, 160879348, 71595103]",5
67065,[14.40596617],[14.29791784],[-0.06297803],[-0.91348395],14,"[2262948, 82151526, 81858602, 176889386, 252647119, 12943089, 162635891, 12779189, 69367127, 235995832, 162395961, 250268186, 235752829, 179272671]",14
67843,[19.89991199],[17.85657622],[0.25791038],[-0.53075891],6,[],0
67908,[10.13097666],[7.51011188],[-0.40248022],[-0.61573734],7,[],0
67925,[29.05438823],[28.55490338],[0.10764881],[1.41661328],13,[],0
69309,[17.58647455],[14.93550088],[-0.30303073],[0.933524],6,[],0
69386,[22.22992403],[12.48508683],[-0.53452813],[-0.3468112],8,[],0
69401,[7.76223324],[7.52786288],[-0.13153418],[-1.40383244],5,[],0
70315,[28.64239739],[25.53762144],[-0.25525136],[-0.60793441],8,[],0
70561,[28.04237681],[11.69579577],[-0.62647689],[-0.18307935],4,[],0
71316,[15.20021142],[7.54080465],[0.58705581],[-1.08167482],5,[],0
71359,[25.22428362],[10.61044992],[-0.6243084],[0.4090741],4,[],0
71464,[20.48645574],[19.71326598],[0.1574274],[-0.25040143],10,"[676388208, 14829401, 207136594, 86126702]",4
72282,[9.11105558],[8.74353605],[0.16264576],[-1.04952125],21,[],0
72284,[28.70017025],[28.53436682],[0.06439085],[0.6212892],12,[],0
72320,[27.56601906],[26.45426272],[0.16260344],[-0.13440326],6,[],0
73448,[23.22038263],[16.6605439],[-0.4216893],[0.70886963],6,[],0
73449,[20.62368314],[20.07277999],[0.13309432],[-1.28883913],7,[],0
73450,[14.64354811],[9.1405913],[0.50124423],[-0.08417765],6,[],0
73747,[19.39207538],[17.78898988],[0.23152317],[0.20725403],7,[],0
73798,[19.2636162],[14.84940421],[0.3871549],[-1.19728592],7,"[229802233, 156399906, 79994657, 10808433]",4
74343,[22.71432126],[22.56062282],[0.06929413],[-1.13917642],9,"[80117033, 10914700, 158552021, 229828039]",4
75061,[11.92138635],[10.02748771],[0.32119706],[-1.02662433],4,[],0
75184,[19.35221693],[19.33246136],[0.02987786],[-1.18217735],31,"[232020870, 227584138, 67490315, 175220240, 79980435, 80069396, 250636180, 156313244, 69502380, 227441709, 177271472, 10661303, 229727418, 156168509, 69468351, 10876096, 250804418, 250674883, 380996, 160735437, 177306578, 158454741, 156341334, 177440732, 2392796, 79866206, 10775012, 250684134, 80081771, 10863984]",30
76950,[25.79545058],[15.56461587],[-0.50607782],[-0.39484603],4,[],0
77899,[18.82229191],[18.49435004],[-0.09861834],[1.00538345],9,"[141091489, 73672579, 227134736, 151625392, 157949874, 4463156, 139520373, 210272318]",8
77913,[27.82023676],[27.60358134],[0.07398932],[1.20792613],11,[],0
78084,[14.85063768],[14.73380172],[-0.06462048],[1.41129478],12,"[86095200, 143654787, 143454249, 233493266, 235787892, 164315830]",6
78980,[9.71151571],[9.48480043],[0.12472221],[0.46803683],6,[],0
78990,[16.54698238],[15.55498726],[-0.18778576],[1.40974182],5,[],0
79028,[11.64860212],[10.18979877],[-0.27516876],[-1.4527325],6,[],0
79375,[22.94381017],[10.31904681],[0.61614425],[-1.37378202],5,[],0
79590,[17.2963264],[8.12631872],[0.60365217],[1.08223711],4,[],0
79599,[14.4523199],[14.11000884],[-0.11585929],[1.60893849],6,[],0
80518,[17.61717638],[16.79161867],[-0.16527015],[1.21670181],6,"[135082794, 202143570, 73502910, 4289887]",4
80688,[21.66547653],[10.92460625],[-0.57209293],[0.86948541],6,"[210219248, 71427610, 4277445, 139044134]",4
81630,[14.47744817],[12.45148791],[0.30125001],[1.58502763],6,[],0
81652,[20.603653],[18.09487126],[0.28087983],[0.09253088],6,[],0
81831,[14.93844873],[14.49849336],[0.13954539],[-0.94905678],9,"[181602781, 254961555, 81945981, 162501320]",4
82317,[13.6626419],[10.49080937],[-0.38005299],[0.97512468],7,[],0
82680,[25.10220339],[17.89449196],[0.43508101],[-0.69601941],14,"[75866594, 177465124, 439592, 67538440, 140022027, 252952876, 208668852, 142119671, 141618109, 176949087]",10
83470,[27.44405543],[26.42954456],[0.15583841],[-1.11320192],9,[],0
84736,[21.08968195],[20.99091151],[-0.04872979],[-0.44041564],12,"[136934721, 206411714, 73515843, 168892900, 6409447, 241987496, 168625836, 242255854, 84159055, 139330005, 204016442]",11
