hitIndex,station,layer,ladder,chip,pixel_x,pixel_y
2386094,0,1,2,4,152,76
4454802,0,1,3,3,7,104
4475500,0,1,3,4,182,142
4535380,0,1,3,5,204,166
10789223,0,1,6,4,95,147
10791005,0,1,6,4,88,157
10800174,0,1,6,4,52,204
10801447,0,1,6,4,47,211
10865874,0,1,6,5,52,40
12827008,0,1,7,3,71,122
12852948,0,1,7,4,226,38
12992529,0,1,7,6,192,233
14956709,0,1,8,4,200,85
69499009,0,2,2,4,136,121
71434512,0,2,3,2,255,234
73694105,0,2,4,4,133,97
73742517,0,2,4,5,200,69
80051331,0,2,7,5,132,119
82077498,0,2,8,4,153,192
84106706,0,2,9,3,163,40
84127429,0,2,9,3,82,53
84282420,0,2,9,6,244,198
86282430,0,2,10,4,112,60
134945186,0,3,1,4,25,88
135246492,0,3,1,8,178,94
135451409,0,3,1,11,211,233
137680994,0,3,2,13,216,152
141513320,0,3,4,8,82,146
147511922,0,3,7,3,218,136
152414079,0,3,9,14,167,123
156543371,0,3,11,13,169,111
164378521,0,3,15,5,55,97
164624316,0,3,15,8,247,62
164690569,0,3,15,9,250,113
166218979,0,3,16,1,76,23
168708624,0,3,17,7,74,234
169207675,0,3,17,14,231,127
170740884,0,3,18,6,76,102
179330467,0,3,22,9,93,87
180909072,0,3,23,1,116,234
202096092,0,4,1,5,189,30
202259913,0,4,1,8,61,49
202464036,0,4,1,11,91,214
208868325,0,4,4,13,19,21
210652757,0,4,5,8,78,165
216611957,0,4,8,3,60,133
221528807,0,4,10,14,66,19
227832694,0,4,13,14,115,132
237558535,0,4,18,2,219,243
237808361,0,4,18,6,170,17
237857202,0,4,18,7,105,72
237989848,0,4,18,9,111,34
239655928,0,4,19,2,219,2
242604624,0,4,20,15,218,170
244153316,0,4,21,7,123,22
246192844,0,4,22,6,154,46
252154356,0,4,25,1,145,6
252771331,0,4,25,10,252,247
254232966,0,4,26,1,73,116
254868723,0,4,26,10,252,7
405461593,1,3,2,3,218,161
412289970,1,3,5,12,11,72
429029389,1,3,13,11,120,237
429336484,1,3,13,16,39,86
447475723,1,3,22,4,240,239
448188133,1,3,22,15,206,21
449573367,1,3,23,4,241,3
472555862,1,4,2,4,161,164
479514070,1,4,5,14,205,36
498543122,1,4,14,17,42,232
502343575,1,4,16,11,39,99
519439149,1,4,24,16,3,205
522862994,1,4,26,4,65,104
674274187,2,3,2,9,155,111
741322675,2,4,2,9,175,71
