batch,track_id,hit_IDs,tids,num_hits,correct_track
0,0,"[689122619, 758224239, 2248074, 69359663]","[45192, 45192, 14688, 14688]",4,0
0,1,"[443507046, 516932774, 4335598, 71563438]","[45182, 45182, 56072, 56072]",4,0
0,2,"[420954430, 490131717, 4335598, 71562928]","[14688, 14688, 56072, 56072]",4,0
0,3,"[420954430, 492229108, 2357780, 71562928]","[14688, 14688, 56072, 56072]",4,0
0,4,"[136853213, 203908533, 2357780, 71563438]","[56072, 56072, 56072, 56072]",4,1
0,5,"[153634017, 222813837, 2236165, 71563438]","[14688, 14688, 56072, 56072]",4,0
0,6,"[181330734, 256789298, 2236165, 71562928]","[14688, 14688, 56072, 56072]",4,0
0,7,"[156072509, 229382099, 2444528, 69659512]","[45182, 45182, 45192, 45192]",4,0
0,8,"[135643579, 204893923, 2274143, 71562928]","[45192, 45192, 56072, 56072]",4,0
0,9,"[2274399, 71562928, 69359663, 181330734]","[56072, 56072, 14688, 14688]",4,0
1,0,"[703153318, 776508138, 14955698, 86258164]","[70313, 70313, 62778, 62778]",4,0
1,1,"[445268147, 518662327, 14961384, 84167737]","[32465, 32465, 62778, 62778]",4,0
1,2,"[447709805, 521104484, 14955698, 84160773]","[62757, 62757, 62778, 62778]",4,0
1,3,"[153625803, 224869590, 14988926, 86291641]","[32465, 32465, 62778, 62778]",4,0
1,4,"[180939128, 254313482, 75674740, 6446767]","[62757, 62757, 62778, 62778]",4,0
1,5,"[180939128, 256410872, 14998994, 84205860]","[62757, 62757, 62778, 62778]",4,0
1,6,"[135467422, 202556849, 14961384, 84205860]","[70313, 70313, 62778, 62778]",4,0
1,7,"[145654112, 216912108, 14930324, 86228951]","[62778, 62778, 62778, 62778]",4,1
1,8,"[145683061, 214859586, 6470243, 75657912]","[62778, 62778, 62778, 62778]",4,1
1,9,"[145683061, 216912108, 4531426, 71634265]","[62778, 62778, 70313, 70313]",4,0
1,10,"[164212386, 235496111, 6470243, 75674740]","[62778, 62778, 62778, 62778]",4,1
1,11,"[158299335, 229563043, 14955698, 84167737]","[62757, 62757, 62778, 62778]",4,0
1,12,"[145803448, 214977673, 6446767, 75657912]","[62778, 62778, 62778, 62778]",4,1
1,13,"[145796976, 214967828, 14955698, 84205860]","[62778, 62778, 62778, 62778]",4,1
1,14,"[145842832, 215016532, 6566793, 75807934]","[62778, 62778, 62778, 62778]",4,1
1,15,"[145828223, 215001653, 6566793, 75778731]","[62778, 62778, 62778, 62778]",4,1
1,16,"[164657271, 235925334, 84167737, 14998994]","[62778, 62778, 62778, 62778]",4,1
1,17,"[164703391, 235925334, 6604955, 75807934]","[62778, 62778, 62778, 62778]",4,1
1,18,"[164621162, 238050796, 6566793, 75771804]","[62778, 62778, 62778, 62778]",4,1
1,19,"[145842832, 215001653, 6572189, 75807934]","[62778, 62778, 62778, 62778]",4,1
1,20,"[164682260, 238050796, 6604955, 75810478]","[62778, 62778, 62778, 62778]",4,1
1,21,"[164713572, 235984202, 6572189, 75778731]","[62778, 62778, 62778, 62778]",4,1
1,22,"[164621162, 235925334, 14988926, 86258164]","[62778, 62778, 62778, 62778]",4,1
1,23,"[145828223, 214967828, 14930324, 86291641]","[62778, 62778, 62778, 62778]",4,1
1,24,"[164703391, 235973003, 14988926, 84160773]","[62778, 62778, 62778, 62778]",4,1
1,25,"[164621162, 235894118, 14988926, 84205860]","[62778, 62778, 62778, 62778]",4,1
1,26,"[214859586, 145654112, 6601652, 75807934]","[62778, 62778, 62778, 62778]",4,1
1,27,"[145803448, 215016532, 75810478, 6601652]","[62778, 62778, 62778, 62778]",4,1
1,28,"[145803448, 214967828, 75771804, 6601652]","[62778, 62778, 62778, 62778]",4,1
1,29,"[145803448, 215001653, 10724809, 79934045]","[62778, 62778, 62757, 62757]",4,0
1,30,"[145842832, 214967828, 6604955, 75778731]","[62778, 62778, 62778, 62778]",4,1
1,31,"[75778731, 6601652, 164713572, 235925334]","[62778, 62778, 62778, 62778]",4,1
1,32,"[86258164, 14961384, 71634265, 135467422, 164713572, 235973003]","[62778, 62778, 70313, 70313, 62778, 62778]",6,0
1,33,"[75771804, 6572189, 164682260, 235984202]","[62778, 62778, 62778, 62778]",4,1
1,34,"[75810478, 6572189, 215001653, 145796976]","[62778, 62778, 62778, 62778]",4,1
1,35,"[84160773, 14961384, 235973003, 164657271]","[62778, 62778, 62778, 62778]",4,1
1,36,"[86258164, 14998994, 164682260, 235925334]","[62778, 62778, 62778, 62778]",4,1
1,37,"[6604955, 75771804, 215016532, 145796976]","[62778, 62778, 62778, 62778]",4,1
2,0,"[711880537, 785186717, 4328603, 73655523]","[71378, 71378, 69237, 69237]",4,0
2,1,"[694705446, 765955192, 10731856, 82009032]","[69237, 69237, 71378, 71378]",4,0
3,0,"[709413313, 780650525, 12906704, 86260185]","[54532, 54532, 67046, 67046]",4,0
3,1,"[434842397, 508298958, 10634127, 79832657]","[46715, 46715, 72282, 72282]",4,0
3,2,"[162916219, 236321243, 80001437, 12906704]","[54532, 54532, 46715, 67046]",4,0
3,3,"[141945573, 211105445, 10759879, 80001437]","[72282, 72282, 46715, 46715]",4,0
3,4,"[150269012, 219451122, 2433200, 67467835]","[72282, 72282, 67046, 67046]",4,0
5,0,"[430558039, 503973081, 4309807, 73510796]","[73448, 73448, 55115, 55115]",4,0
5,1,"[137791817, 204865630, 12947841, 84249776]","[55115, 55115, 55115, 55115]",4,1
5,2,"[167065792, 240436176, 2420456, 69415061]","[55115, 55115, 73448, 73448]",4,0
6,0,"[420775442, 492064708, 275721, 69488289]","[74457, 74457, 74457, 74457]",4,1
7,0,"[139087737, 206170435, 198263, 67309197]","[43668, 43668, 43668, 43668]",4,1
7,1,"[176993519, 250354026, 6486117, 75564636]","[43668, 43668, 55183, 55183]",4,0
8,0,"[707547487, 778760735, 12863802, 84180313]","[72875, 72875, 53746, 53746]",4,0
8,1,"[711542326, 784900713, 12668453, 83996238]","[74343, 74343, 76950, 76950]",4,0
8,2,"[407998399, 475102390, 80110265, 10914700]","[53746, 53746, 72875, 74343]",4,0
8,3,"[410359951, 477386272, 2264015, 69377811]","[67897, 67897, 76949, 76949]",4,0
8,4,"[435492676, 508868023, 8820501, 80110265]","[55183, 55183, 72875, 72875]",4,0
8,5,"[426610262, 497847794, 10914700, 80117033]","[68434, 68434, 74343, 74343]",4,0
8,6,"[426610262, 495749637, 8820501, 80117033]","[68434, 68434, 72875, 74343]",4,0
8,7,"[177696053, 253156064, 8511790, 77710435]","[74343, 74343, 76949, 76949]",4,0
9,0,"[686463380, 755618186, 2465871, 69562114]","[63965, 63965, 63965, 63965]",4,1
9,1,"[441593913, 515010424, 2465871, 71660528]","[74405, 74405, 63965, 63965]",4,0
9,2,"[181602862, 257086760, 10806973, 79899758]","[63965, 63965, 74405, 74405]",4,0
10,0,"[175535285, 248903513, 14998929, 86298589]","[58980, 58980, 58980, 58980]",4,1
11,0,"[678003538, 745061404, 15057640, 86351341]","[26048, 26048, 26048, 26048]",4,1
11,1,"[418358238, 485461809, 382771, 69594315]","[78059, 78059, 78059, 78059]",4,1
12,0,"[445209905, 520709297, 15048156, 84259617]","[80907, 80907, 20774, 20774]",4,0
12,1,"[449331436, 522669356, 14795804, 86095200]","[80907, 80907, 78084, 78084]",4,0
12,2,"[449583793, 522919959, 4401353, 73611207]","[80907, 80907, 78084, 78084]",4,0
13,0,"[177414457, 252899956, 353339, 67452177]","[81438, 81438, 81438, 81438]",4,1
15,0,"[403297773, 451531520, 526974992, 14770959]","[56032, 56032, 56032, 75178]",4,0
16,0,"[446217264, 521684693, 12970645, 233853829]","[83957, 83957, 83957, 83957]",4,1
16,1,"[493820587, 494202592, 180913621, 254292562]","[84245, 84245, 83957, 83957]",4,0
18,0,"[434838939, 506141495, 216796945, 12742569, 77790128, 147655507]","[65142, 65142, 65142, 73724, 65142, 65142]",6,0
18,1,"[743920053, 137909446, 258585411, 12742569, 84049643, 164536171]","[77112, 77112, 73724, 73724, 73724, 73724]",6,0
18,2,"[134876381, 12742569, 237895061, 674774813]","[73724, 73724, 73724, 77112]",4,0
18,3,"[204960652, 245829822, 711477884, 784875846]","[77112, 77112, 77112, 77112]",4,1
19,0,"[774519791, 772421890, 141890700, 211079552]","[64013, 64013, 64013, 64013]",4,1
20,0,"[674156120, 15130489, 741156787, 15130489, 71427610, 139044134]","[35978, 35978, 35978, 35978, 80688, 80688]",6,0
20,1,"[424244141, 4277445, 424244141, 493517208]","[80688, 80688, 80688, 80688]",4,1
20,2,"[417967725, 413679196, 688526785, 759752418]","[38906, 38906, 86679, 86679]",4,0
20,3,"[210219248, 759752418, 175587090, 253229544]","[80688, 86679, 35978, 35978]",4,0
21,0,"[8780749, 77979361, 84110855, 168876738, 160848213, 232103559]","[65085, 65085, 18695, 18695, 65085, 65085]",6,0
21,1,"[160820049, 15055329, 14916788, 86208759, 242264475, 173518571]","[86206, 86206, 18695, 18695, 18695, 18695]",6,0
22,0,"[512461120, 8482862, 512461120, 79800037]","[46816, 46816, 46816, 46816]",4,1
23,0,"[501689030, 6593776, 242410881, 718187477, 67459212, 171117211]","[88969, 88969, 90141, 90330, 90141, 90141]",6,0
23,1,"[227926046, 361342, 212599929, 156679589, 82103401, 162742041]","[90141, 90141, 88969, 90141, 90330, 90330]",6,0
23,2,"[73597993, 10686219, 73597993, 143494046, 791494844, 10686219]","[88969, 90330, 88969, 88969, 90330, 90330]",6,0
25,0,"[145781180, 214931348, 6676900, 75761333]","[71460, 71460, 71460, 71460]",4,1
25,1,"[164271640, 237634786, 6559601, 75881646]","[53792, 53792, 35330, 35330]",4,0
26,0,"[431080235, 504453598, 789490093, 10652034]","[46708, 46708, 83470, 83470]",4,0
26,1,"[420686108, 491953793, 714035727, 10652034]","[46708, 46708, 83470, 83470]",4,0
27,0,"[166465137, 237750354, 6561348, 75772721]","[22873, 22873, 22873, 22873]",4,1
