frameNumber,hitIndex,station,layer,ladder,chip,pixel_x,pixel_y
0,374312,0,1,1,5,74,210
0,2162985,0,1,2,1,255,209
0,2229109,0,1,2,2,253,133
0,2236165,0,1,2,2,225,245
0,2239424,0,1,2,2,213,58
0,2248074,0,1,2,2,179,112
0,2258789,0,1,2,2,137,149
0,2269645,0,1,2,2,95,45
0,2273888,0,1,2,2,78,154
0,2274143,0,1,2,2,77,155
0,2274144,0,1,2,2,77,154
0,2274399,0,1,2,2,76,155
0,2289292,0,1,2,2,18,110
0,2295319,0,1,2,3,250,227
0,2296089,0,1,2,3,247,225
0,2296346,0,1,2,3,246,224
0,2357780,0,1,2,3,6,230
0,2365265,0,1,2,4,233,169
0,2365266,0,1,2,4,233,168
0,2365521,0,1,2,4,232,169
0,2365522,0,1,2,4,232,168
0,2444528,0,1,2,5,180,10
0,4335598,0,1,3,2,217,12
0,6473109,0,1,4,2,59,101
0,6482365,0,1,4,2,23,61
0,8536422,0,1,5,2,191,148
0,8587869,0,1,5,3,246,157
0,8607628,0,1,5,3,169,110
0,10595998,0,1,6,1,82,92
0,10622635,0,1,6,2,234,79
0,10655654,0,1,6,2,105,84
0,10686654,0,1,6,3,240,60
0,10753216,0,1,6,4,236,58
0,10856126,0,1,6,5,90,60
0,14755356,0,1,8,1,218,222
0,14770867,0,1,8,1,158,71
0,14844607,0,1,8,2,126,59
0,14863808,0,1,8,2,51,58
0,14903713,0,1,8,3,151,89
0,14934993,0,1,8,3,29,41
0,14948444,0,1,8,4,232,158
0,14986193,0,1,8,4,85,41
0,15037910,0,1,8,5,139,36
0,67225321,0,2,1,1,58,17
0,69347449,0,2,2,2,216,129
0,69359663,0,2,2,2,168,203
0,69375111,0,2,2,2,108,115
0,69577410,0,2,2,5,86,56
0,69659512,0,2,2,6,21,130
0,71562928,0,2,3,3,10,74
0,71563438,0,2,3,3,8,76
0,71688518,0,2,3,5,31,180
0,71714761,0,2,3,6,185,49
0,73595910,0,2,4,2,4,244
0,75672227,0,2,5,2,86,87
0,75693046,0,2,5,2,5,4
0,77743165,0,2,6,2,188,189
0,77851281,0,2,6,3,22,105
0,77988909,0,2,6,6,252,205
0,79760188,0,2,7,1,245,190
0,79803705,0,2,7,1,75,193
0,79830860,0,2,7,2,225,174
0,79861829,0,2,7,2,104,181
0,79896683,0,2,7,3,224,143
0,79919836,0,2,7,3,134,30
0,79956078,0,2,7,4,248,140
0,80065132,0,2,7,5,78,142
0,83973643,0,2,9,1,170,239
0,84048144,0,2,9,2,135,234
